,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Name_Code,Fuel_Type_Code,Seller_Type_Code,Transmission_Code
139,Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,7,2,1,1
0,ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,90,2,0,1
173,Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,2,2,1,0
217,eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,75,2,0,1
166,Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,25,2,1,1
191,Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,10,2,1,1
246,i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,84,2,0,1
194,Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18,2,1,1
65,etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,80,1,0,1
97,corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,71,2,0,1
160,Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,8,2,1,1
149,Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,15,2,1,1
92,innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,86,2,0,1
175,Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,22,2,1,1
292,jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0,87,2,0,1
299,city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0,69,1,0,1
172,Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,13,2,1,1
76,corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,71,2,0,1
61,etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,77,2,0,1
206,xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,97,2,0,1
193,Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,19,2,1,1
82,innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,86,1,0,0
73,etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,80,2,0,1
78,corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,71,2,0,0
249,i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,84,2,0,1
114,Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,46,2,1,1
106,Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,40,2,1,1
111,Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,48,2,1,1
116,Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,46,2,1,1
267,city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,69,1,0,1
136,Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,37,2,1,1
28,alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,63,2,0,1
296,city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0,69,1,0,1
128,Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,32,2,1,1
223,verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,94,1,0,1
40,baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,65,2,0,0
215,verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,94,2,0,1
235,verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,94,2,0,1
133,Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,6,2,1,1
197,Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,36,2,1,1
159,Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,31,2,1,0
49,ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,68,2,0,0
268,brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,66,2,0,1
122,Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,45,2,1,1
84,innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,86,1,0,1
185,Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,50,2,1,0
60,corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,71,2,0,1
3,wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,96,2,0,1
100,Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,49,2,1,1
20,alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,63,2,0,1
43,dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,73,1,0,1
54,innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,86,2,1,1
289,city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0,69,2,0,1
86,land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,88,1,0,1
216,eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,75,2,0,1
95,corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,71,2,0,1
199,Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,33,2,1,1
31,ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,90,2,0,1
63,fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,81,1,0,0
188,Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,21,2,1,1
293,city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0,69,2,0,1
5,vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,95,1,0,1
83,innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,86,1,0,1
108,Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,48,2,1,1
125,Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,47,2,1,1
277,city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,69,2,0,1
117,Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,49,2,1,1
146,Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,20,2,1,1
239,eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,75,2,0,1
229,i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,84,1,0,1
120,Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,17,2,1,1
4,swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,92,1,0,1
112,KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,41,2,1,1
261,brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,66,2,0,1
203,i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,83,2,0,1
186,TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,55,2,1,0
142,Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,57,2,1,1
123,Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,46,2,1,1
88,etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,80,2,0,1
46,ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,90,2,0,1
252,brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,66,2,0,0
140,Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,37,2,1,1
189,Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,29,2,1,1
250,creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,72,1,0,1
161,TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,52,2,1,1
151,Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,26,2,1,1
64,fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,81,1,0,0
276,city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,69,2,0,1
157,Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,60,2,1,1
113,Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,44,2,1,1
89,etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,78,2,0,1
256,city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,69,2,0,1
74,etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,77,1,0,1
132,Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,6,2,1,1
42,sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,93,2,0,1
281,city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,69,2,0,1
278,jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,87,2,0,1
283,city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0,69,2,0,1
264,amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,64,2,0,1
23,alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,63,2,0,1
154,Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,61,2,1,1
8,ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,68,1,0,1
44,omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,89,2,0,1
143,Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,57,2,1,1
98,corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,71,2,0,1
93,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,81,1,0,0
21,ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,85,2,0,1
158,Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,38,2,1,1
57,corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,71,2,0,1
222,i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,84,1,0,1
101,UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,56,2,1,1
104,Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,46,2,1,1
255,brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,66,2,0,1
208,i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,84,2,0,1
37,800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,0,2,1,1
148,Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,15,2,1,1
187,Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,36,2,1,1
45,ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,68,2,0,0
19,sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,93,2,0,1
257,city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,69,2,0,1
70,etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,80,1,0,1
121,Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,48,2,1,1
165,Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,1,2,1,0
227,i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,83,2,0,1
87,corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,71,2,0,1
282,city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0,69,1,0,1
90,corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,71,2,0,1
91,innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,86,1,0,1
80,corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,71,1,0,1
59,fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,81,1,0,0
162,Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,16,2,1,1
181,Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,27,2,1,1
167,TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,51,2,1,1
155,Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,31,2,1,0
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,14,2,1,1
18,wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,96,0,0,1
190,Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,14,2,1,1
52,innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,86,1,0,0
177,Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,30,2,1,0
147,Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,60,2,1,1
150,TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,52,2,1,1
174,Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,35,2,1,1
218,verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,94,2,0,1
156,TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,54,2,1,1
297,brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0,66,2,0,1
245,verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,94,1,0,1
39,sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,93,2,0,1
184,Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,14,2,1,1
55,corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,71,2,0,0
275,city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,69,2,0,0
26,swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,92,2,0,1
33,ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,76,1,0,1
110,KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,42,2,1,1
182,Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,33,2,1,1
94,corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,71,2,0,0
163,Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,7,2,1,1
279,city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,69,2,0,1
291,brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0,66,2,0,1
22,sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,93,2,0,0
35,sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,93,0,0,1
7,s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,91,1,0,1
202,grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,82,2,0,1
